BirthDate,Birdcode,Gender,City,HighSchool,Type,Level,Credits,GlobalGrade,Class
20-01-1984,4,HOMBRE,BOLÍVAR,AGROPECUARIA,Fiscal,Décimo,2,8.38,Good
01-11-1990,5,HOMBRE,BOLÍVAR,AGROPECUARIA,Fiscal,Décimo,2,8.76,Good
02-07-1987,5,HOMBRE,BOLÍVAR,AGROPECUARIA,Fiscal,Décimo,2,8.8,Good
16-04-1979,3,HOMBRE,CHONE,AGROPECUARIA,Fiscal,Décimo,2,9.1,Excellent
05-09-1987,5,HOMBRE,BOLÍVAR,AGROPECUARIA,Fiscal,Décimo,2,9.2,Excellent
10-07-1987,5,HOMBRE,SARAGURO,CIENCIAS,Fiscal,Décimo,4,7,Acceptable
07-04-1978,3,HOMBRE,SARAGURO,CIENCIAS,Particular,Décimo,5,7,Acceptable
20-09-1988,5,HOMBRE,BOLÍVAR,CIENCIAS,Particular,Décimo,4,7.08,Acceptable
08-03-1989,5,MUJER,SARAGURO,CIENCIAS,Particular,Décimo,4,7.12,Acceptable
11-10-1990,5,HOMBRE,SARAGURO,CIENCIAS,Fiscal,Décimo,2,7.41,Acceptable
06-08-1986,5,HOMBRE,CHONE,CIENCIAS,Fiscal,Décimo,4,7.43,Acceptable
19-11-1985,4,HOMBRE,TOSAGUA,CIENCIAS,Fiscal,Décimo,2,7.45,Acceptable
06-06-1990,5,HOMBRE,BOLÍVAR,CIENCIAS,Fiscal,Décimo,2,7.47,Acceptable
28-04-1989,5,MUJER,BOLÍVAR,CIENCIAS,Fiscal,Décimo,4,7.47,Acceptable
26-03-1987,5,HOMBRE,PORTOVIEJO,CIENCIAS,Fiscal,Décimo,4,7.47,Acceptable
28-06-1986,5,HOMBRE,CHONE,CIENCIAS,Fiscal,Décimo,4,7.47,Acceptable
12-04-1988,5,HOMBRE,MANTA,CIENCIAS,Fiscal,Décimo,4,7.5,Acceptable
23-10-1990,5,MUJER,CHONE,CIENCIAS,Fiscomisional,Décimo,5,7.58,Acceptable
12-04-1988,5,HOMBRE,MANTA,CIENCIAS,Fiscomisional,Décimo,5,7.58,Acceptable
15-03-1986,5,HOMBRE,SARAGURO,CIENCIAS,Fiscal,Décimo,5,7.65,Acceptable
16-03-1990,5,MUJER,SARAGURO,CIENCIAS,Fiscal,Décimo,4,7.67,Acceptable
23-09-1979,3,MUJER,SARAGURO,CIENCIAS,Fiscal,Décimo,5,7.68,Acceptable
28-01-1992,6,MUJER,SARAGURO,CIENCIAS,Fiscal,Décimo,2,7.71,Acceptable
01-06-1983,4,HOMBRE,PORTOVIEJO,CIENCIAS,Fiscal,Décimo,4,7.71,Acceptable
02-05-1990,5,MUJER,CHONE,CIENCIAS,Fiscal,Décimo,2,7.74,Acceptable
18-11-1991,6,HOMBRE,SARAGURO,CIENCIAS,Fiscal,Décimo,2,7.75,Acceptable
19-04-1991,6,MUJER,CHONE,CIENCIAS,Fiscal,Décimo,4,7.75,Acceptable
16-04-1990,5,HOMBRE,MANTA,CIENCIAS,Fiscal,Décimo,2,7.8,Acceptable
30-07-1989,5,HOMBRE,BOLÍVAR,CIENCIAS,Fiscal,Décimo,2,7.8,Acceptable
11-11-1991,6,MUJER,SARAGURO,CIENCIAS,Fiscal,Décimo,4,7.82,Acceptable
24-02-1990,5,HOMBRE,SARAGURO,CIENCIAS,Fiscal,Décimo,2,7.85,Acceptable
23-10-1990,5,MUJER,CHONE,CIENCIAS,Fiscal,Décimo,2,7.86,Acceptable
06-10-1989,5,MUJER,BOLÍVAR,CIENCIAS,Fiscal,Décimo,2,8,Good
24-04-1991,6,HOMBRE,BOLÍVAR,CIENCIAS,Fiscal,Décimo,4,8.06,Good
29-07-1988,5,MUJER,BOLÍVAR,CIENCIAS,Fiscal,Décimo,4,8.06,Good
23-10-1988,5,HOMBRE,TOSAGUA,CIENCIAS,Fiscal,Décimo,4,8.08,Good
23-10-1988,5,HOMBRE,TOSAGUA,CIENCIAS,Fiscal,Décimo,4,8.08,Good
25-12-1984,4,HOMBRE,QUEVEDO,CIENCIAS,Fiscal,Décimo,4,8.1,Good
02-02-1991,6,MUJER,SARAGURO,CIENCIAS,Fiscal,Décimo,4,8.12,Good
24-06-1990,5,HOMBRE,BOLÍVAR,CIENCIAS,Fiscal,Décimo,2,8.13,Good
31-01-1990,5,HOMBRE,BOLÍVAR,CIENCIAS,Fiscal,Décimo,4,8.13,Good
12-07-1987,5,MUJER,CHONE,CIENCIAS,Fiscal,Décimo,4,8.16,Good
03-07-1986,5,HOMBRE,SARAGURO,CIENCIAS,Fiscal,Décimo,4,8.33,Good
19-04-1991,6,MUJER,CHONE,CIENCIAS,Fiscal,Décimo,4,8.34,Good
22-04-1984,4,MUJER,BOLÍVAR,CIENCIAS,Fiscal,Décimo,4,8.35,Good
12-07-1990,5,MUJER,CHONE,CIENCIAS,Fiscal,Décimo,4,8.36,Good
04-09-1991,6,MUJER,CHONE,CIENCIAS,Fiscal,Décimo,4,8.36,Good
23-10-1988,5,HOMBRE,TOSAGUA,CIENCIAS,Fiscal,Décimo,4,8.39,Good
17-01-1989,5,MUJER,BOLÍVAR,CIENCIAS,Fiscomisional,Décimo,4,8.39,Good
18-05-1989,5,HOMBRE,BOLÍVAR,CIENCIAS,Fiscal,Décimo,4,8.4,Good
14-09-1982,4,MUJER,QUEVEDO,CIENCIAS,Fiscomisional,Décimo,4,8.42,Good
01-01-1980,3,HOMBRE,CHONE,CIENCIAS,Fiscal,Décimo,2,8.45,Good
14-02-1990,5,MUJER,SARAGURO,CIENCIAS,Fiscal,Décimo,4,8.6,Good
12-02-1990,5,MUJER,BOLÍVAR,CIENCIAS,Fiscal,Décimo,5,8.68,Good
06-01-1987,5,HOMBRE,SARAGURO,CIENCIAS,Fiscal,Décimo,5,8.7,Good
04-09-1991,6,MUJER,CHONE,CIENCIAS,Fiscal,Décimo,4,8.85,Good
28-12-1990,5,HOMBRE,BOLÍVAR,CIENCIAS,Fiscal,Décimo,3,8.92,Good
07-11-1975,2,MUJER,BOLÍVAR,CIENCIAS,Fiscal,Décimo,3,8.95,Good
31-01-1990,5,HOMBRE,BOLÍVAR,CIENCIAS,Fiscal,Décimo,3,8.99,Good
30-10-1991,6,MUJER,BOLÍVAR,CIENCIAS,Fiscal,Décimo,3,9,Good
30-07-1989,5,HOMBRE,BOLÍVAR,CIENCIAS,Fiscal,Décimo,3,9.07,Excellent
08-01-1988,5,HOMBRE,SARAGURO,CIENCIAS,Fiscal,Décimo,3,9.07,Excellent
24-07-1991,6,MUJER,BOLÍVAR,CIENCIAS,Fiscal,Décimo,3,9.12,Excellent
12-07-1987,5,MUJER,CHONE,CIENCIAS,Fiscal,Décimo,4,9.16,Excellent
08-11-1979,3,HOMBRE,JUNÍN,CIENCIAS,Fiscal,Décimo,4,9.16,Excellent
28-12-1990,5,HOMBRE,BOLÍVAR,CIENCIAS,Fiscal,Décimo,3,9.18,Excellent
28-09-1968,1,MUJER,SARAGURO,CIENCIAS,Fiscal,Décimo,3,9.23,Excellent
02-10-1982,4,HOMBRE,BOLÍVAR,CIENCIAS,Fiscal,Décimo,4,9.25,Excellent
03-05-1980,3,HOMBRE,BOLÍVAR,CIENCIAS,Fiscal,Décimo,4,9.25,Excellent
20-01-1984,4,HOMBRE,BOLÍVAR,CIENCIAS,Fiscal,Décimo,2,9.3,Excellent
07-11-1975,2,MUJER,BOLÍVAR,CIENCIAS,Fiscal,Décimo,3,9.3,Excellent
24-07-1991,6,MUJER,CHONE,CIENCIAS,Fiscomisional,Décimo,3,9.33,Excellent
24-04-1991,6,HOMBRE,BOLÍVAR,CIENCIAS,Fiscomisional,Décimo,3,9.35,Excellent
22-04-1984,4,MUJER,BOLÍVAR,CIENCIAS,Fiscal,Décimo,4,9.5,Excellent
25-11-1988,5,HOMBRE,BOLÍVAR,CIENCIAS,Fiscal,Décimo,4,9.53,Excellent
25-12-1983,4,HOMBRE,PORTOVIEJO,CIENCIAS,Fiscal,Décimo,4,9.61,Excellent
25-12-1983,4,HOMBRE,PORTOVIEJO,CIENCIAS,Fiscal,Décimo,4,9.62,Excellent
28-06-1986,5,HOMBRE,CHONE,CIENCIAS,Particular,Décimo,4,9.78,Excellent
21-06-1987,5,MUJER,BOLÍVAR,CIENCIAS,Particular,Décimo,4,9.8,Excellent
20-01-1984,4,HOMBRE,BOLÍVAR,CIENCIAS,Fiscal,Décimo,2,10,Excellent
07-11-1975,2,MUJER,BOLÍVAR,CIENCIAS,Fiscal,Décimo,3,10,Excellent
07-11-1975,2,MUJER,BOLÍVAR,CIENCIAS,Fiscal,Décimo,3,10,Excellent
10-06-1987,5,HOMBRE,SARAGURO,INFORMATICA,Fiscal,Décimo,5,7,Acceptable
15-03-1986,5,HOMBRE,SARAGURO,INFORMATICA,Fiscal,Décimo,5,7,Acceptable
21-05-1992,6,MUJER,BOLÍVAR,INFORMATICA,Fiscal,Décimo,4,7.01,Acceptable
11-11-1991,6,MUJER,SARAGURO,INFORMATICA,Fiscal,Décimo,5,7.01,Acceptable
11-10-1990,5,HOMBRE,SARAGURO,INFORMATICA,Fiscal,Décimo,2,7.02,Acceptable
10-03-1983,4,HOMBRE,SARAGURO,INFORMATICA,Fiscal,Décimo,5,7.02,Acceptable
21-04-1988,5,HOMBRE,BOLÍVAR,INFORMATICA,Particular,Décimo,2,7.03,Acceptable
21-05-1992,6,MUJER,BOLÍVAR,INFORMATICA,Fiscal,Décimo,4,7.03,Acceptable
25-04-1990,5,MUJER,SARAGURO,INFORMATICA,Fiscal,Décimo,5,7.08,Acceptable
13-08-1990,5,MUJER,BOLÍVAR,INFORMATICA,Fiscal,Décimo,3,7.12,Acceptable
04-10-1989,5,MUJER,BOLÍVAR,INFORMATICA,Fiscal,Décimo,4,7.14,Acceptable
03-07-1986,5,HOMBRE,SARAGURO,INFORMATICA,Fiscal,Décimo,4,7.14,Acceptable
01-11-1990,5,HOMBRE,BOLÍVAR,INFORMATICA,Fiscal,Décimo,5,7.29,Acceptable
15-03-1986,5,HOMBRE,SARAGURO,INFORMATICA,Fiscal,Décimo,5,7.4,Acceptable
31-05-1990,5,HOMBRE,CHONE,INFORMATICA,Fiscal,Décimo,2,7.42,Acceptable
06-02-1992,6,HOMBRE,TOSAGUA,INFORMATICA,Fiscal,Décimo,4,7.45,Acceptable
28-01-1992,6,MUJER,SARAGURO,INFORMATICA,Fiscal,Décimo,4,7.45,Acceptable
17-04-1989,5,HOMBRE,CHONE,INFORMATICA,Fiscal,Décimo,4,7.45,Acceptable
19-04-1991,6,MUJER,CHONE,INFORMATICA,Fiscal,Décimo,4,7.46,Acceptable
20-09-1988,5,HOMBRE,BOLÍVAR,INFORMATICA,Fiscal,Décimo,4,7.46,Acceptable
25-04-1988,5,MUJER,SARAGURO,INFORMATICA,Fiscal,Décimo,4,7.46,Acceptable
07-04-1978,3,HOMBRE,SARAGURO,INFORMATICA,Fiscal,Décimo,2,7.47,Acceptable
15-03-1986,5,HOMBRE,SARAGURO,INFORMATICA,Fiscal,Décimo,4,7.5,Acceptable
12-02-1990,5,MUJER,BOLÍVAR,INFORMATICA,Fiscal,Décimo,4,7.51,Acceptable
31-07-1994,6,HOMBRE,SARAGURO,INFORMATICA,Fiscal,Décimo,4,7.55,Acceptable
21-06-1987,5,MUJER,BOLÍVAR,INFORMATICA,Fiscal,Décimo,4,7.55,Acceptable
16-04-1990,5,HOMBRE,MANTA,INFORMATICA,Fiscal,Décimo,5,7.56,Acceptable
02-07-1987,5,HOMBRE,BOLÍVAR,INFORMATICA,Fiscal,Décimo,2,7.57,Acceptable
15-10-1989,5,MUJER,SARAGURO,INFORMATICA,Fiscal,Décimo,2,7.61,Acceptable
12-10-1989,5,MUJER,BOLÍVAR,INFORMATICA,Fiscal,Décimo,2,7.64,Acceptable
02-07-1987,5,HOMBRE,BOLÍVAR,INFORMATICA,Fiscal,Décimo,2,7.64,Acceptable
31-07-1994,6,HOMBRE,SARAGURO,INFORMATICA,Fiscal,Décimo,2,7.68,Acceptable
22-04-1989,5,MUJER,BOLÍVAR,INFORMATICA,Particular,Décimo,2,7.8,Acceptable
05-06-1990,5,MUJER,SARAGURO,INFORMATICA,Particular,Décimo,2,7.81,Acceptable
30-10-1988,5,MUJER,SARAGURO,INFORMATICA,Particular,Décimo,4,7.85,Acceptable
06-06-1990,5,HOMBRE,BOLÍVAR,INFORMATICA,Fiscal,Décimo,2,7.86,Acceptable
15-02-1987,5,MUJER,BOLÍVAR,INFORMATICA,Fiscal,Décimo,2,7.86,Acceptable
13-10-1990,5,HOMBRE,SARAGURO,INFORMATICA,Fiscal,Décimo,3,7.9,Acceptable
12-07-1990,5,MUJER,CHONE,INFORMATICA,Fiscal,Décimo,2,7.96,Acceptable
25-04-1990,5,MUJER,SARAGURO,INFORMATICA,Fiscal,Décimo,2,7.97,Acceptable
12-07-1990,5,MUJER,BOLÍVAR,INFORMATICA,Fiscal,Décimo,5,7.98,Acceptable
21-04-1988,5,HOMBRE,BOLÍVAR,INFORMATICA,Fiscal,Décimo,5,8,Good
30-10-1988,5,MUJER,SARAGURO,INFORMATICA,Particular,Décimo,4,8.28,Good
26-09-1974,2,MUJER,SARAGURO,INFORMATICA,Fiscal,Décimo,4,8.29,Good
26-09-1974,2,MUJER,SARAGURO,INFORMATICA,Fiscal,Décimo,4,8.3,Good
06-02-1992,6,HOMBRE,TOSAGUA,INFORMATICA,Fiscal,Décimo,5,8.3,Good
15-03-1990,5,HOMBRE,SARAGURO,INFORMATICA,Fiscal,Décimo,4,8.34,Good
29-05-1982,4,HOMBRE,VALENCIA,INFORMATICA,Fiscal,Décimo,4,8.34,Good
23-02-1992,6,HOMBRE,SARAGURO,INFORMATICA,Particular,Décimo,4,8.35,Good
02-05-1990,5,MUJER,CHONE,INFORMATICA,Particular,Décimo,4,8.35,Good
25-11-1988,5,HOMBRE,BOLÍVAR,INFORMATICA,Fiscal,Décimo,4,8.36,Good
21-06-1987,5,MUJER,BOLÍVAR,INFORMATICA,Fiscal,Décimo,4,8.38,Good
26-03-1987,5,HOMBRE,PORTOVIEJO,INFORMATICA,Fiscal,Décimo,4,8.4,Good
21-10-1982,4,HOMBRE,BOLÍVAR,INFORMATICA,Fiscal,Décimo,4,8.4,Good
21-10-1982,4,HOMBRE,BOLÍVAR,INFORMATICA,Fiscal,Décimo,4,8.4,Good
03-12-1983,4,HOMBRE,CHONE,INFORMATICA,Fiscal,Décimo,4,8.42,Good
21-04-1988,5,HOMBRE,BOLÍVAR,INFORMATICA,Fiscal,Décimo,4,8.45,Good
12-04-1988,5,HOMBRE,MANTA,INFORMATICA,Fiscal,Décimo,4,8.48,Good
29-07-1988,5,MUJER,BOLÍVAR,INFORMATICA,Fiscal,Décimo,4,8.49,Good
17-04-1989,5,HOMBRE,CHONE,INFORMATICA,Fiscal,Décimo,4,8.5,Good
13-06-1988,5,HOMBRE,YANZAZA,INFORMATICA,Fiscal,Décimo,4,8.5,Good
15-03-1986,5,HOMBRE,SARAGURO,INFORMATICA,Fiscal,Décimo,4,8.5,Good
01-06-1983,4,HOMBRE,PORTOVIEJO,INFORMATICA,Fiscal,Décimo,4,8.5,Good
19-11-1985,4,HOMBRE,TOSAGUA,INFORMATICA,Fiscal,Décimo,4,8.54,Good
02-01-1991,6,MUJER,CHONE,INFORMATICA,Fiscal,Décimo,5,8.58,Good
15-03-1990,5,HOMBRE,SARAGURO,INFORMATICA,Fiscal,Décimo,5,8.61,Good
08-03-1989,5,MUJER,SARAGURO,INFORMATICA,Particular,Décimo,4,8.65,Good
01-06-1983,4,HOMBRE,PORTOVIEJO,INFORMATICA,Fiscal,Décimo,4,8.69,Good
23-06-1989,5,HOMBRE,BOLÍVAR,INFORMATICA,Fiscal,Décimo,4,8.7,Good
06-06-1987,5,MUJER,BOLÍVAR,INFORMATICA,Fiscal,Décimo,4,8.7,Good
28-06-1986,5,HOMBRE,CHONE,INFORMATICA,Fiscal,Décimo,4,8.7,Good
01-11-1990,5,HOMBRE,BOLÍVAR,INFORMATICA,Particular,Décimo,4,8.7,Good
28-05-1985,4,MUJER,BOLÍVAR,INFORMATICA,Fiscal,Décimo,4,8.7,Good
12-04-1988,5,HOMBRE,MANTA,INFORMATICA,Fiscal,Décimo,4,8.72,Good
24-07-1991,6,MUJER,CHONE,INFORMATICA,Fiscal,Décimo,4,8.73,Good
09-03-1988,5,HOMBRE,BOLÍVAR,INFORMATICA,Fiscal,Décimo,4,8.73,Good
26-03-1987,5,HOMBRE,PORTOVIEJO,INFORMATICA,Fiscal,Décimo,4,8.74,Good
16-04-1979,3,HOMBRE,CHONE,INFORMATICA,Fiscal,Décimo,4,8.75,Good
08-01-1988,5,HOMBRE,SARAGURO,INFORMATICA,Fiscal,Décimo,4,8.77,Good
12-02-1990,5,MUJER,BOLÍVAR,INFORMATICA,Particular,Décimo,4,8.78,Good
17-04-1989,5,HOMBRE,CHONE,INFORMATICA,Particular,Décimo,4,8.78,Good
07-07-1987,5,HOMBRE,BOLÍVAR,INFORMATICA,Fiscal,Décimo,4,8.79,Good
31-05-1990,5,HOMBRE,CHONE,INFORMATICA,Fiscal,Décimo,4,8.8,Good
17-04-1989,5,HOMBRE,CHONE,INFORMATICA,Fiscal,Décimo,4,8.83,Good
25-11-1988,5,HOMBRE,BOLÍVAR,INFORMATICA,Fiscal,Décimo,4,8.83,Good
01-01-1980,3,HOMBRE,BOLÍVAR,INFORMATICA,Fiscal,Décimo,4,8.86,Good
15-10-1989,5,MUJER,SARAGURO,INFORMATICA,Fiscal,Décimo,4,8.87,Good
23-11-1984,4,HOMBRE,BOLÍVAR,INFORMATICA,Fiscal,Décimo,4,8.87,Good
17-01-1989,5,MUJER,BOLÍVAR,INFORMATICA,Fiscal,Décimo,4,8.88,Good
31-07-1994,6,HOMBRE,SARAGURO,INFORMATICA,Fiscal,Décimo,3,8.9,Good
14-02-1990,5,MUJER,SARAGURO,INFORMATICA,Fiscal,Décimo,3,8.9,Good
22-06-1989,5,MUJER,SARAGURO,INFORMATICA,Fiscal,Décimo,4,8.9,Good
22-04-1984,4,MUJER,BOLÍVAR,INFORMATICA,Fiscal,Décimo,4,8.9,Good
14-01-1990,5,HOMBRE,SARAGURO,INFORMATICA,Particular,Décimo,4,9.05,Excellent
12-04-1988,5,HOMBRE,MANTA,INFORMATICA,Particular,Décimo,4,9.05,Excellent
06-10-1989,5,MUJER,BOLÍVAR,INFORMATICA,Particular,Décimo,4,9.06,Excellent
19-03-1990,5,MUJER,SARAGURO,INFORMATICA,Fiscal,Décimo,5,9.11,Excellent
31-07-1994,6,HOMBRE,SARAGURO,INFORMATICA,Particular,Décimo,2,9.16,Excellent
02-10-1982,4,HOMBRE,BOLÍVAR,INFORMATICA,Fiscal,Décimo,4,9.17,Excellent
19-04-1991,6,MUJER,CHONE,INFORMATICA,Fiscal,Décimo,4,9.18,Excellent
13-06-1988,5,HOMBRE,YANZAZA,INFORMATICA,Fiscal,Décimo,4,9.18,Excellent
14-02-1988,5,MUJER,BOLÍVAR,INFORMATICA,Fiscal,Décimo,4,9.22,Excellent
05-09-1987,5,HOMBRE,BOLÍVAR,INFORMATICA,Fiscal,Décimo,4,9.23,Excellent
25-12-1983,4,HOMBRE,PORTOVIEJO,INFORMATICA,Fiscal,Décimo,4,9.23,Excellent
09-03-1988,5,HOMBRE,BOLÍVAR,INFORMATICA,Fiscal,Décimo,4,9.25,Excellent
06-01-1987,5,HOMBRE,SARAGURO,INFORMATICA,Fiscal,Décimo,5,9.25,Excellent
23-10-1990,5,MUJER,CHONE,INFORMATICA,Fiscal,Décimo,4,9.28,Excellent
03-05-1980,3,HOMBRE,BOLÍVAR,INFORMATICA,Fiscal,Décimo,4,9.3,Excellent
10-03-1983,4,HOMBRE,SARAGURO,INFORMATICA,Fiscal,Décimo,5,9.3,Excellent
30-10-1991,6,MUJER,BOLÍVAR,INFORMATICA,Fiscal,Décimo,5,9.31,Excellent
12-07-1990,5,MUJER,CHONE,INFORMATICA,Fiscal,Décimo,4,9.39,Excellent
28-10-1989,5,MUJER,SARAGURO,INFORMATICA,Fiscal,Décimo,4,9.4,Excellent
17-04-1989,5,HOMBRE,CHONE,INFORMATICA,Fiscal,Décimo,4,9.4,Excellent
24-04-1991,6,HOMBRE,BOLÍVAR,INFORMATICA,Fiscal,Décimo,3,9.43,Excellent
31-01-1990,5,HOMBRE,BOLÍVAR,INFORMATICA,Fiscal,Décimo,3,9.51,Excellent
31-05-1990,5,HOMBRE,CHONE,INFORMATICA,Particular,Décimo,4,9.53,Excellent
30-10-1988,5,MUJER,SARAGURO,INFORMATICA,Particular,Décimo,4,9.53,Excellent
15-03-1981,4,MUJER,BOLÍVAR,INFORMATICA,Fiscal,Décimo,5,9.53,Excellent
25-11-1988,5,HOMBRE,BOLÍVAR,INFORMATICA,Particular,Décimo,4,9.55,Excellent
23-11-1984,4,HOMBRE,BOLÍVAR,INFORMATICA,Fiscal,Décimo,4,9.55,Excellent
10-12-1988,5,HOMBRE,BOLÍVAR,INFORMATICA,Fiscal,Décimo,4,9.56,Excellent
23-11-1984,4,HOMBRE,BOLÍVAR,INFORMATICA,Particular,Décimo,4,9.56,Excellent
27-04-1976,3,MUJER,BOLÍVAR,INFORMATICA,Particular,Décimo,4,9.57,Excellent
17-08-1985,4,HOMBRE,CHONE,INFORMATICA,Particular,Décimo,4,9.6,Excellent
27-02-1987,5,MUJER,BOLÍVAR,INFORMATICA,Particular,Décimo,4,9.6,Excellent
10-02-1986,5,HOMBRE,BOLÍVAR,INFORMATICA,Particular,Décimo,4,9.6,Excellent
23-11-1982,4,HOMBRE,CHONE,INFORMATICA,Fiscal,Décimo,4,9.6,Excellent
01-01-1980,3,HOMBRE,BOLÍVAR,INFORMATICA,Fiscal,Décimo,4,9.6,Excellent
05-09-1987,5,HOMBRE,BOLÍVAR,INFORMATICA,Fiscal,Décimo,4,9.65,Excellent
30-07-1989,5,HOMBRE,BOLÍVAR,INFORMATICA,Fiscal,Décimo,4,9.69,Excellent
21-05-1992,6,MUJER,BOLÍVAR,INFORMATICA,Fiscal,Décimo,5,9.7,Excellent
24-07-1991,6,MUJER,CHONE,INFORMATICA,Fiscal,Décimo,3,9.75,Excellent
04-10-1989,5,MUJER,BOLÍVAR,INFORMATICA,Fiscal,Décimo,3,9.75,Excellent
18-08-1975,2,MUJER,BOLÍVAR,INFORMATICA,Fiscal,Décimo,3,9.83,Excellent
14-09-1982,4,MUJER,QUEVEDO,INFORMATICA,Fiscal,Décimo,4,9.9,Excellent
24-07-1991,6,MUJER,CHONE,INFORMATICA,Fiscal,Décimo,3,10,Excellent
24-07-1991,6,MUJER,CHONE,INFORMATICA,Fiscal,Décimo,3,10,Excellent
17-03-1991,6,HOMBRE,SARAGURO,INFORMATICA,Fiscal,Décimo,3,10,Excellent
10-12-1990,5,HOMBRE,SARAGURO,INFORMATICA,Fiscal,Décimo,3,10,Excellent
10-03-1989,5,HOMBRE,SARAGURO,INFORMATICA,Fiscal,Décimo,3,10,Excellent
25-04-1988,5,MUJER,SARAGURO,SECRETARIADO,Fiscal,Décimo,4,7.29,Acceptable
02-04-1989,5,MUJER,SARAGURO,SECRETARIADO,Fiscal,Décimo,4,7.39,Acceptable
24-06-1990,5,HOMBRE,BOLÍVAR,SECRETARIADO,Fiscal,Décimo,2,7.65,Acceptable
18-05-1989,5,HOMBRE,BOLÍVAR,SECRETARIADO,Fiscal,Décimo,2,7.8,Acceptable
24-02-1990,5,HOMBRE,SARAGURO,TECNICO,Fiscal,Décimo,4,7.7,Acceptable
16-05-1986,5,MUJER,BOLÍVAR,TECNICO,Fiscal,Décimo,4,7.71,Acceptable
24-11-1987,5,MUJER,SARAGURO,TECNICO,Fiscal,Décimo,2,7.81,Acceptable
25-08-1986,5,HOMBRE,BOLÍVAR,TECNICO,Fiscal,Décimo,2,7.84,Acceptable
25-11-1988,5,HOMBRE,BOLÍVAR,TECNICO,Fiscal,Décimo,4,8.17,Good
13-06-1988,5,HOMBRE,YANZAZA,TECNICO,Fiscal,Décimo,4,8.17,Good
15-03-1981,4,MUJER,BOLÍVAR,TECNICO,Fiscal,Décimo,5,9.96,Excellent
31-05-1990,5,HOMBRE,CHONE,TECNICO,Fiscal,Décimo,5,10,Excellent
05-05-1987,5,MUJER,SARAGURO,ADMINISTRACION Y AFINES,Fiscal,Noveno,3,7,Acceptable
06-10-1989,5,MUJER,BOLÍVAR,ADMINISTRACION Y AFINES,Fiscomisional,Noveno,4,7.51,Acceptable
06-07-1987,5,MUJER,BOLÍVAR,ADMINISTRACION Y AFINES,Fiscal,Noveno,2,7.93,Acceptable
02-10-1982,4,HOMBRE,BOLÍVAR,ADMINISTRACION Y AFINES,Fiscal,Noveno,2,8.13,Good
23-06-1989,5,HOMBRE,BOLÍVAR,ADMINISTRACION Y AFINES,Fiscomisional,Noveno,4,8.6,Good
06-01-1987,5,HOMBRE,SARAGURO,ADMINISTRACION Y AFINES,Fiscomisional,Noveno,4,8.66,Good
12-10-1989,5,MUJER,BOLÍVAR,ADMINISTRACION Y AFINES,Fiscomisional,Noveno,4,8.8,Good
